condition_name,trial_in_condition,rolling_accuracy_mean,rolling_accuracy_sem,rolling_rt_correct_mean,rolling_rt_correct_sem,n_subjects
C1_PhoneLike,30,0.8888888888888888,,1.4363270499743521,,1
C1_PhoneLike,31,0.8888888888888888,,1.4435502874839587,,1
C1_PhoneLike,32,0.8888888888888888,,1.4243718624929897,,1
C1_PhoneLike,33,1.0,,1.350386011103789,,1
C1_PhoneLike,34,1.0,,1.3032434222081468,,1
C1_PhoneLike,35,1.0,,1.2500661555418953,,1
C1_PhoneLike,36,1.0,,1.2461291333246562,,1
C1_PhoneLike,37,1.0,,1.136389633330206,,1
C2_KeyboardLike,1,,,,,1
C2_KeyboardLike,2,,,,,1
C2_KeyboardLike,3,0.0,,,,1
C2_KeyboardLike,4,0.25,,,,1
C2_KeyboardLike,5,0.2,,,,1
C2_KeyboardLike,6,0.16666666666666666,,,,1
C2_KeyboardLike,7,0.2857142857142857,,1.8213897499954328,,1
C2_KeyboardLike,8,0.25,,1.8213897499954328,,1
C2_KeyboardLike,9,0.2222222222222222,,1.8213897499954328,,1
C2_KeyboardLike,10,0.3333333333333333,,2.0970234000124037,,1
C2_KeyboardLike,11,0.4444444444444444,,2.3775797249982134,,1
C2_KeyboardLike,12,0.5555555555555556,,2.2575110000092535,,1
C2_KeyboardLike,13,0.5555555555555556,,2.047103640018031,,1
C2_KeyboardLike,14,0.6666666666666666,,2.0222170000197366,,1
C2_KeyboardLike,15,0.6666666666666666,,2.0222170000197366,,1
C2_KeyboardLike,16,0.6666666666666666,,2.1876802500337362,,1
C2_KeyboardLike,17,0.6666666666666666,,2.1876802500337362,,1
C2_KeyboardLike,18,0.6666666666666666,,2.1876802500337362,,1
C2_KeyboardLike,19,0.6666666666666666,,2.1028442167056105,,1
C2_KeyboardLike,20,0.6666666666666666,,1.742312000055487,,1
C2_KeyboardLike,21,0.5555555555555556,,1.7353271800559014,,1
C2_KeyboardLike,22,0.5555555555555556,,1.7120135800447316,,1
C2_KeyboardLike,23,0.4444444444444444,,1.6655710250488482,,1
C2_KeyboardLike,24,0.5555555555555556,,1.651461540022865,,1
C2_KeyboardLike,25,0.5555555555555556,,1.4707557400222868,,1
C2_KeyboardLike,26,0.6666666666666666,,1.4171152166867007,,1
C2_KeyboardLike,27,0.7777777777777778,,1.425761728580775,,1
C2_KeyboardLike,28,0.7777777777777778,,1.2669888285786979,,1
C2_KeyboardLike,29,0.7777777777777778,,1.2545190000174833,,1
C2_KeyboardLike,30,0.8888888888888888,,1.2186032625031658,,1
C2_KeyboardLike,31,0.8888888888888888,,1.4510973875003401,,1
C2_KeyboardLike,32,1.0,,1.4803294222284522,,1
C2_KeyboardLike,33,1.0,,1.424044877782257,,1
C2_KeyboardLike,34,1.0,,1.6340361333245204,,1
C2_KeyboardLike,35,1.0,,1.6469739999932547,,1
C2_KeyboardLike,36,1.0,,1.6800883444440033,,1
C2_KeyboardLike,37,1.0,,1.6968841777545296,,1
C2_KeyboardLike,38,1.0,,1.8998855110775266,,1
C2_KeyboardLike,39,1.0,,2.0000698666553944,,1
C2_KeyboardLike,40,1.0,,1.882966722206523,,1
C2_KeyboardLike,41,1.0,,1.8197312999723687,,1
C2_KeyboardLike,42,1.0,,1.7930686110889331,,1
C2_KeyboardLike,43,1.0,,1.596683322193308,,1
C2_KeyboardLike,44,1.0,,1.57678241106785,,1
